return_id,order_id,item_id,product_id,customer_id,return_reason,refund_amount,return_timestamp
RET-00034,ORD-00100,ITM-000234,PROD-0044,CUST-0195,Changed Mind,332.99,2024-02-08 01:00:00
RET-00035,ORD-00105,ITM-000243,PROD-0051,CUST-0083,Changed Mind,2157.26,2024-01-07 06:00:00
RET-00036,ORD-00105,ITM-000244,PROD-0034,CUST-0083,Defective Item,456.49,2024-01-11 06:00:00
RET-00037,ORD-00105,ITM-000245,PROD-0051,CUST-0083,Late Delivery,2295.09,2024-01-11 06:00:00
RET-00038,ORD-00105,ITM-000246,PROD-0006,CUST-0083,Changed Mind,312.47,2024-01-08 06:00:00
RET-00039,ORD-00106,ITM-000247,PROD-0036,CUST-0085,Late Delivery,420.94,2024-01-23 16:00:00
RET-00040,ORD-00106,ITM-000248,PROD-0016,CUST-0085,Defective Item,2872.75,2024-01-22 16:00:00
RET-00041,ORD-00106,ITM-000249,PROD-0044,CUST-0085,Late Delivery,320.99,2024-01-21 16:00:00
RET-00042,ORD-00106,ITM-000250,PROD-0017,CUST-0085,Changed Mind,1726.16,2024-01-21 16:00:00
RET-00043,ORD-00109,ITM-000255,PROD-0046,CUST-0190,Changed Mind,504.06,2024-01-09 09:00:00
RET-00044,ORD-00110,ITM-000259,PROD-0023,CUST-0137,Defective Item,3394.58,2024-02-13 12:00:00
RET-00045,ORD-00114,ITM-000268,PROD-0043,CUST-0193,Late Delivery,220.85,2024-02-03 06:00:00
RET-00046,ORD-00114,ITM-000269,PROD-0022,CUST-0193,Defective Item,909.5,2024-02-03 06:00:00
RET-00047,ORD-00114,ITM-000270,PROD-0019,CUST-0193,Changed Mind,500.9,2024-02-03 06:00:00
RET-00048,ORD-00119,ITM-000281,PROD-0024,CUST-0075,Wrong Size,2008.6,2024-02-03 02:00:00
RET-00049,ORD-00119,ITM-000282,PROD-0049,CUST-0075,Wrong Size,1321.48,2024-02-03 02:00:00
RET-00050,ORD-00119,ITM-000283,PROD-0037,CUST-0075,Late Delivery,2718.22,2024-02-03 02:00:00
RET-00051,ORD-00119,ITM-000284,PROD-0023,CUST-0075,Wrong Size,667.26,2024-02-05 02:00:00
RET-00052,ORD-00121,ITM-000288,PROD-0025,CUST-0134,Changed Mind,2049.51,2024-01-20 04:00:00
RET-00053,ORD-00121,ITM-000289,PROD-0025,CUST-0134,Changed Mind,1000.19,2024-01-22 04:00:00
RET-00054,ORD-00122,ITM-000290,PROD-0011,CUST-0125,Wrong Size,1313.77,2024-02-12 10:00:00
RET-00055,ORD-00122,ITM-000291,PROD-0010,CUST-0125,Defective Item,261.24,2024-02-14 10:00:00
RET-00056,ORD-00122,ITM-000292,PROD-0043,CUST-0125,Defective Item,430.42,2024-02-12 10:00:00
RET-00057,ORD-00122,ITM-000293,PROD-0031,CUST-0125,Wrong Size,1742.8,2024-02-14 10:00:00
RET-00058,ORD-00124,ITM-000296,PROD-0057,CUST-0067,Late Delivery,1714.96,2024-02-06 22:00:00
RET-00059,ORD-00127,ITM-000303,PROD-0031,CUST-0158,Defective Item,811.83,2024-01-10 03:00:00
RET-00060,ORD-00129,ITM-000308,PROD-0013,CUST-0060,Defective Item,627.97,2024-01-22 05:00:00
RET-00061,ORD-00129,ITM-000309,PROD-0034,CUST-0060,Changed Mind,251.51,2024-01-23 05:00:00
RET-00062,ORD-00129,ITM-000310,PROD-0027,CUST-0060,Changed Mind,916.31,2024-01-25 05:00:00
RET-00063,ORD-00131,ITM-000314,PROD-0048,CUST-0143,Wrong Size,476.39,2024-01-19 19:00:00
RET-00064,ORD-00131,ITM-000315,PROD-0029,CUST-0143,Late Delivery,637.13,2024-01-23 19:00:00
RET-00065,ORD-00131,ITM-000316,PROD-0051,CUST-0143,Defective Item,1241.31,2024-01-23 19:00:00
RET-00066,ORD-00131,ITM-000317,PROD-0011,CUST-0143,Defective Item,2273.67,2024-01-19 19:00:00
RET-00067,ORD-00137,ITM-000327,PROD-0022,CUST-0045,Changed Mind,271.88,2024-02-06 13:00:00
RET-00068,ORD-00137,ITM-000328,PROD-0045,CUST-0045,Late Delivery,1518.2,2024-02-08 13:00:00
RET-00069,ORD-00137,ITM-000329,PROD-0050,CUST-0045,Late Delivery,294.17,2024-02-07 13:00:00
RET-00070,ORD-00139,ITM-000334,PROD-0021,CUST-0024,Changed Mind,2044.12,2024-01-28 12:00:00
RET-00071,ORD-00139,ITM-000335,PROD-0012,CUST-0024,Wrong Size,1044.83,2024-01-25 12:00:00
RET-00072,ORD-00139,ITM-000336,PROD-0048,CUST-0024,Wrong Size,474.94,2024-01-25 12:00:00
RET-00073,ORD-00139,ITM-000337,PROD-0013,CUST-0024,Wrong Size,1229.13,2024-01-26 12:00:00
RET-00074,ORD-00148,ITM-000359,PROD-0050,CUST-0174,Late Delivery,471.3,2024-01-20 04:00:00
RET-00075,ORD-00148,ITM-000360,PROD-0050,CUST-0174,Changed Mind,575.18,2024-01-19 04:00:00
RET-00076,ORD-00154,ITM-000373,PROD-0034,CUST-0179,Late Delivery,1270.61,2024-01-17 04:00:00
RET-00077,ORD-00154,ITM-000374,PROD-0035,CUST-0179,Changed Mind,691.62,2024-01-18 04:00:00
RET-00078,ORD-00154,ITM-000375,PROD-0024,CUST-0179,Defective Item,1546.72,2024-01-17 04:00:00
RET-00079,ORD-00154,ITM-000376,PROD-0001,CUST-0179,Changed Mind,141.75,2024-01-16 04:00:00
RET-00080,ORD-00165,ITM-000407,PROD-0037,CUST-0125,Late Delivery,1108.25,2024-02-09 19:00:00
RET-00081,ORD-00165,ITM-000408,PROD-0018,CUST-0125,Wrong Size,1416.33,2024-02-11 19:00:00
RET-00082,ORD-00168,ITM-000416,PROD-0007,CUST-0169,Late Delivery,232.67,2024-01-08 14:00:00
RET-00083,ORD-00173,ITM-000426,PROD-0027,CUST-0154,Wrong Size,1087.74,2024-01-27 20:00:00
RET-00084,ORD-00173,ITM-000427,PROD-0037,CUST-0154,Changed Mind,2919.8,2024-01-29 20:00:00
RET-00085,ORD-00173,ITM-000428,PROD-0024,CUST-0154,Defective Item,1501.41,2024-01-28 20:00:00
RET-00086,ORD-00175,ITM-000431,PROD-0007,CUST-0006,Wrong Size,55.75,2024-02-09 02:00:00
RET-00087,ORD-00175,ITM-000432,PROD-0017,CUST-0006,Wrong Size,1006.83,2024-02-09 02:00:00
RET-00088,ORD-00182,ITM-000452,PROD-0003,CUST-0044,Wrong Size,425.29,2024-02-14 00:00:00
RET-00089,ORD-00182,ITM-000453,PROD-0049,CUST-0044,Wrong Size,265.43,2024-02-12 00:00:00
RET-00090,ORD-00182,ITM-000454,PROD-0040,CUST-0044,Defective Item,1052.58,2024-02-14 00:00:00
RET-00091,ORD-00182,ITM-000455,PROD-0022,CUST-0044,Defective Item,294.96,2024-02-15 00:00:00
RET-00092,ORD-00183,ITM-000458,PROD-0034,CUST-0085,Changed Mind,256.29,2024-02-07 16:00:00
RET-00093,ORD-00185,ITM-000462,PROD-0013,CUST-0026,Defective Item,3004.06,2024-02-08 05:00:00
RET-00094,ORD-00185,ITM-000463,PROD-0003,CUST-0026,Changed Mind,377.77,2024-02-06 05:00:00
RET-00095,ORD-00190,ITM-000477,PROD-0015,CUST-0158,Wrong Size,142.43,2024-02-14 04:00:00
RET-00096,ORD-00190,ITM-000478,PROD-0033,CUST-0158,Wrong Size,1580.09,2024-02-13 04:00:00
RET-00097,ORD-00191,ITM-000479,PROD-0003,CUST-0100,Late Delivery,776.28,2024-02-04 14:00:00
RET-00098,ORD-00191,ITM-000480,PROD-0015,CUST-0100,Late Delivery,266.86,2024-02-05 14:00:00
RET-00099,ORD-00193,ITM-000482,PROD-0034,CUST-0101,Wrong Size,248.45,2024-02-09 05:00:00
RET-00100,ORD-00198,ITM-000493,PROD-0050,CUST-0131,Wrong Size,286.47,2024-01-17 22:00:00
RET-00101,ORD-00204,ITM-000501,PROD-0030,CUST-0042,Defective Item,1909.49,2024-02-12 07:00:00
RET-00102,ORD-00204,ITM-000502,PROD-0050,CUST-0042,Defective Item,473.71,2024-02-15 07:00:00
RET-00103,ORD-00206,ITM-000505,PROD-0031,CUST-0054,Late Delivery,2018.35,2024-01-08 13:00:00
RET-00104,ORD-00207,ITM-000506,PROD-0060,CUST-0156,Late Delivery,379.67,2024-01-23 02:00:00
RET-00105,ORD-00207,ITM-000507,PROD-0032,CUST-0156,Changed Mind,98.49,2024-01-21 02:00:00
RET-00106,ORD-00207,ITM-000508,PROD-0013,CUST-0156,Defective Item,690.26,2024-01-23 02:00:00
RET-00107,ORD-00209,ITM-000512,PROD-0008,CUST-0018,Defective Item,877.09,2024-01-27 02:00:00
RET-00108,ORD-00217,ITM-000525,PROD-0030,CUST-0002,Defective Item,397.47,2024-01-08 07:00:00
RET-00109,ORD-00217,ITM-000526,PROD-0037,CUST-0002,Changed Mind,1636.52,2024-01-07 07:00:00
RET-00110,ORD-00217,ITM-000527,PROD-0013,CUST-0002,Changed Mind,1345.03,2024-01-10 07:00:00
RET-00111,ORD-00220,ITM-000534,PROD-0040,CUST-0023,Defective Item,1730.37,2024-01-29 15:00:00
RET-00112,ORD-00220,ITM-000535,PROD-0060,CUST-0023,Late Delivery,765.17,2024-01-28 15:00:00
RET-00113,ORD-00220,ITM-000536,PROD-0007,CUST-0023,Late Delivery,228.41,2024-01-31 15:00:00
RET-00114,ORD-00220,ITM-000537,PROD-0015,CUST-0023,Changed Mind,294.59,2024-02-01 15:00:00
RET-00115,ORD-00223,ITM-000543,PROD-0031,CUST-0103,Late Delivery,1859.11,2024-01-30 17:00:00
RET-00116,ORD-00223,ITM-000544,PROD-0051,CUST-0103,Wrong Size,1721.0,2024-01-31 17:00:00
RET-00117,ORD-00227,ITM-000555,PROD-0055,CUST-0089,Changed Mind,741.81,2024-02-09 10:00:00
RET-00118,ORD-00227,ITM-000556,PROD-0058,CUST-0089,Changed Mind,2097.03,2024-02-09 10:00:00
RET-00119,ORD-00227,ITM-000557,PROD-0008,CUST-0089,Late Delivery,804.38,2024-02-10 10:00:00
RET-00120,ORD-00227,ITM-000558,PROD-0045,CUST-0089,Late Delivery,2088.1,2024-02-11 10:00:00
RET-00121,ORD-00228,ITM-000561,PROD-0043,CUST-0104,Wrong Size,449.72,2024-01-31 03:00:00
RET-00122,ORD-00231,ITM-000570,PROD-0016,CUST-0188,Changed Mind,2413.33,2024-01-21 00:00:00
RET-00123,ORD-00240,ITM-000588,PROD-0021,CUST-0198,Defective Item,3516.76,2024-02-09 16:00:00
RET-00124,ORD-00240,ITM-000589,PROD-0001,CUST-0198,Late Delivery,127.31,2024-02-09 16:00:00
RET-00125,ORD-00251,ITM-000610,PROD-0003,CUST-0017,Late Delivery,652.1,2024-01-23 01:00:00
RET-00126,ORD-00252,ITM-000611,PROD-0060,CUST-0031,Late Delivery,207.94,2024-02-07 00:00:00
RET-00127,ORD-00252,ITM-000612,PROD-0042,CUST-0031,Defective Item,330.79,2024-02-10 00:00:00
RET-00128,ORD-00256,ITM-000617,PROD-0029,CUST-0031,Late Delivery,557.04,2024-01-12 23:00:00
RET-00129,ORD-00257,ITM-000619,PROD-0045,CUST-0002,Wrong Size,1591.09,2024-01-15 12:00:00
RET-00130,ORD-00257,ITM-000620,PROD-0041,CUST-0002,Wrong Size,853.35,2024-01-17 12:00:00
RET-00131,ORD-00257,ITM-000621,PROD-0012,CUST-0002,Wrong Size,2530.47,2024-01-18 12:00:00
RET-00132,ORD-00257,ITM-000622,PROD-0046,CUST-0002,Changed Mind,613.87,2024-01-14 12:00:00
RET-00133,ORD-00265,ITM-000643,PROD-0058,CUST-0023,Defective Item,459.89,2024-02-09 01:00:00
RET-00134,ORD-00269,ITM-000650,PROD-0051,CUST-0076,Defective Item,426.49,2024-01-23 08:00:00
RET-00135,ORD-00269,ITM-000651,PROD-0033,CUST-0076,Late Delivery,883.93,2024-01-21 08:00:00
RET-00136,ORD-00274,ITM-000664,PROD-0023,CUST-0161,Changed Mind,2575.87,2024-01-21 23:00:00
RET-00137,ORD-00274,ITM-000665,PROD-0013,CUST-0161,Changed Mind,700.4,2024-01-22 23:00:00
RET-00138,ORD-00274,ITM-000666,PROD-0027,CUST-0161,Late Delivery,1472.2,2024-01-23 23:00:00
RET-00139,ORD-00274,ITM-000667,PROD-0038,CUST-0161,Late Delivery,950.03,2024-01-24 23:00:00
RET-00140,ORD-00276,ITM-000670,PROD-0012,CUST-0043,Defective Item,1102.04,2024-01-14 08:00:00
RET-00141,ORD-00276,ITM-000671,PROD-0021,CUST-0043,Changed Mind,3455.53,2024-01-16 08:00:00
RET-00142,ORD-00279,ITM-000678,PROD-0002,CUST-0123,Late Delivery,1533.97,2024-01-13 07:00:00
RET-00143,ORD-00279,ITM-000679,PROD-0023,CUST-0123,Wrong Size,656.13,2024-01-16 07:00:00
RET-00144,ORD-00279,ITM-000680,PROD-0038,CUST-0123,Wrong Size,1051.12,2024-01-14 07:00:00
RET-00145,ORD-00284,ITM-000695,PROD-0002,CUST-0078,Late Delivery,412.88,2024-01-25 01:00:00
RET-00146,ORD-00284,ITM-000696,PROD-0008,CUST-0078,Wrong Size,866.58,2024-01-26 01:00:00
RET-00147,ORD-00294,ITM-000721,PROD-0007,CUST-0042,Wrong Size,265.17,2024-02-15 17:00:00
RET-00148,ORD-00295,ITM-000722,PROD-0060,CUST-0184,Changed Mind,360.46,2024-01-24 15:00:00
RET-00149,ORD-00302,ITM-000733,PROD-0033,CUST-0194,Defective Item,997.22,2024-01-29 01:00:00
RET-00150,ORD-00302,ITM-000734,PROD-0008,CUST-0194,Wrong Size,856.57,2024-01-27 01:00:00
RET-00151,ORD-00302,ITM-000735,PROD-0002,CUST-0194,Late Delivery,375.87,2024-01-26 01:00:00
RET-00152,ORD-00302,ITM-000736,PROD-0044,CUST-0194,Changed Mind,96.94,2024-01-29 01:00:00
RET-00153,ORD-00310,ITM-000758,PROD-0040,CUST-0026,Wrong Size,1716.51,2024-01-28 01:00:00
RET-00154,ORD-00310,ITM-000759,PROD-0032,CUST-0026,Wrong Size,49.61,2024-01-29 01:00:00
RET-00155,ORD-00311,ITM-000760,PROD-0040,CUST-0074,Defective Item,540.0,2024-01-10 19:00:00
RET-00156,ORD-00311,ITM-000761,PROD-0038,CUST-0074,Late Delivery,625.66,2024-01-10 19:00:00
RET-00157,ORD-00313,ITM-000765,PROD-0014,CUST-0141,Late Delivery,410.03,2024-01-09 06:00:00
RET-00158,ORD-00313,ITM-000766,PROD-0060,CUST-0141,Wrong Size,931.55,2024-01-05 06:00:00
RET-00159,ORD-00313,ITM-000767,PROD-0024,CUST-0141,Changed Mind,1573.77,2024-01-06 06:00:00
RET-00160,ORD-00313,ITM-000768,PROD-0055,CUST-0141,Wrong Size,1596.47,2024-01-05 06:00:00
RET-00161,ORD-00315,ITM-000772,PROD-0036,CUST-0112,Defective Item,773.83,2024-01-08 16:00:00
RET-00162,ORD-00319,ITM-000780,PROD-0021,CUST-0066,Changed Mind,3298.44,2024-01-08 01:00:00
RET-00163,ORD-00321,ITM-000782,PROD-0041,CUST-0190,Wrong Size,800.56,2024-01-18 18:00:00
RET-00164,ORD-00321,ITM-000783,PROD-0055,CUST-0190,Changed Mind,1602.03,2024-01-21 18:00:00
RET-00165,ORD-00321,ITM-000784,PROD-0020,CUST-0190,Changed Mind,383.6,2024-01-19 18:00:00
RET-00166,ORD-00333,ITM-000813,PROD-0017,CUST-0034,Late Delivery,369.09,2024-01-25 08:00:00
RET-00167,ORD-00333,ITM-000814,PROD-0056,CUST-0034,Changed Mind,1279.72,2024-01-27 08:00:00
RET-00168,ORD-00336,ITM-000819,PROD-0032,CUST-0127,Defective Item,49.57,2024-02-01 21:00:00
RET-00169,ORD-00336,ITM-000820,PROD-0023,CUST-0127,Wrong Size,668.82,2024-02-02 21:00:00
RET-00170,ORD-00336,ITM-000821,PROD-0054,CUST-0127,Wrong Size,564.3,2024-02-02 21:00:00
RET-00171,ORD-00336,ITM-000822,PROD-0038,CUST-0127,Wrong Size,200.31,2024-02-04 21:00:00
RET-00172,ORD-00342,ITM-000839,PROD-0030,CUST-0166,Changed Mind,1595.66,2024-02-07 02:00:00
RET-00173,ORD-00342,ITM-000840,PROD-0010,CUST-0166,Wrong Size,240.1,2024-02-06 02:00:00
RET-00174,ORD-00342,ITM-000841,PROD-0034,CUST-0166,Defective Item,1018.75,2024-02-04 02:00:00
RET-00175,ORD-00344,ITM-000843,PROD-0048,CUST-0091,Late Delivery,1063.52,2024-02-10 12:00:00
RET-00176,ORD-00351,ITM-000861,PROD-0018,CUST-0016,Late Delivery,1138.06,2024-01-04 23:00:00
RET-00177,ORD-00366,ITM-000898,PROD-0023,CUST-0061,Wrong Size,1981.36,2024-02-13 08:00:00
RET-00178,ORD-00366,ITM-000899,PROD-0046,CUST-0061,Defective Item,623.23,2024-02-10 08:00:00
RET-00179,ORD-00373,ITM-000916,PROD-0043,CUST-0122,Defective Item,897.41,2024-01-13 14:00:00
RET-00180,ORD-00373,ITM-000917,PROD-0052,CUST-0122,Late Delivery,2263.37,2024-01-14 14:00:00
RET-00181,ORD-00373,ITM-000918,PROD-0015,CUST-0122,Late Delivery,571.54,2024-01-11 14:00:00
RET-00182,ORD-00373,ITM-000919,PROD-0048,CUST-0122,Defective Item,740.3,2024-01-12 14:00:00
RET-00183,ORD-00375,ITM-000921,PROD-0008,CUST-0194,Wrong Size,1499.16,2024-02-10 02:00:00
RET-00184,ORD-00376,ITM-000922,PROD-0026,CUST-0181,Changed Mind,412.05,2024-01-31 12:00:00
RET-00185,ORD-00376,ITM-000923,PROD-0028,CUST-0181,Changed Mind,998.81,2024-02-04 12:00:00
RET-00186,ORD-00376,ITM-000924,PROD-0025,CUST-0181,Wrong Size,1604.04,2024-01-31 12:00:00
RET-00187,ORD-00379,ITM-000929,PROD-0008,CUST-0153,Late Delivery,916.01,2024-01-22 01:00:00
RET-00188,ORD-00379,ITM-000930,PROD-0005,CUST-0153,Defective Item,1504.85,2024-01-20 01:00:00
RET-00189,ORD-00379,ITM-000931,PROD-0018,CUST-0153,Wrong Size,1404.27,2024-01-19 01:00:00
RET-00190,ORD-00379,ITM-000932,PROD-0049,CUST-0153,Changed Mind,1217.97,2024-01-20 01:00:00
RET-00191,ORD-00380,ITM-000933,PROD-0024,CUST-0146,Late Delivery,1714.46,2024-02-01 12:00:00
RET-00192,ORD-00380,ITM-000934,PROD-0059,CUST-0146,Late Delivery,307.55,2024-01-31 12:00:00
RET-00193,ORD-00382,ITM-000938,PROD-0020,CUST-0073,Wrong Size,419.82,2024-01-14 09:00:00
RET-00194,ORD-00388,ITM-000953,PROD-0005,CUST-0142,Wrong Size,1852.91,2024-02-09 07:00:00
RET-00195,ORD-00388,ITM-000954,PROD-0017,CUST-0142,Changed Mind,1687.96,2024-02-13 07:00:00
RET-00196,ORD-00390,ITM-000959,PROD-0004,CUST-0133,Late Delivery,2036.09,2024-02-07 21:00:00
RET-00197,ORD-00390,ITM-000960,PROD-0021,CUST-0133,Defective Item,663.06,2024-02-05 21:00:00
RET-00198,ORD-00393,ITM-000965,PROD-0041,CUST-0134,Defective Item,1127.46,2024-01-08 05:00:00
RET-00199,ORD-00396,ITM-000968,PROD-0025,CUST-0159,Defective Item,1909.69,2024-01-22 05:00:00
RET-00200,ORD-00396,ITM-000969,PROD-0022,CUST-0159,Wrong Size,288.06,2024-01-20 05:00:00
RET-00201,ORD-00396,ITM-000970,PROD-0007,CUST-0159,Wrong Size,59.78,2024-01-18 05:00:00
RET-00202,ORD-00396,ITM-000971,PROD-0058,CUST-0159,Changed Mind,2406.84,2024-01-22 05:00:00
RET-00203,ORD-00397,ITM-000972,PROD-0016,CUST-0091,Wrong Size,1173.41,2024-02-03 09:00:00
RET-00204,ORD-00397,ITM-000973,PROD-0020,CUST-0091,Changed Mind,2085.52,2024-02-05 09:00:00
RET-00205,ORD-00401,ITM-000983,PROD-0026,CUST-0178,Defective Item,145.38,2024-02-02 05:00:00
RET-00206,ORD-00402,ITM-000987,PROD-0036,CUST-0093,Defective Item,833.68,2024-01-06 16:00:00
RET-00207,ORD-00408,ITM-001002,PROD-0029,CUST-0150,Late Delivery,1209.79,2024-02-04 02:00:00
RET-00208,ORD-00408,ITM-001003,PROD-0021,CUST-0150,Late Delivery,1992.19,2024-02-03 02:00:00
RET-00209,ORD-00408,ITM-001004,PROD-0015,CUST-0150,Defective Item,407.9,2024-02-04 02:00:00
RET-00210,ORD-00408,ITM-001005,PROD-0019,CUST-0150,Changed Mind,467.26,2024-02-02 02:00:00
RET-00211,ORD-00410,ITM-001008,PROD-0001,CUST-0197,Late Delivery,92.8,2024-01-18 08:00:00
RET-00212,ORD-00410,ITM-001009,PROD-0026,CUST-0197,Late Delivery,367.69,2024-01-16 08:00:00
RET-00213,ORD-00410,ITM-001010,PROD-0042,CUST-0197,Late Delivery,1515.65,2024-01-17 08:00:00
RET-00214,ORD-00419,ITM-001029,PROD-0016,CUST-0117,Late Delivery,1152.83,2024-01-25 22:00:00
RET-00215,ORD-00419,ITM-001030,PROD-0025,CUST-0117,Late Delivery,970.56,2024-01-22 22:00:00
RET-00216,ORD-00419,ITM-001031,PROD-0045,CUST-0117,Changed Mind,427.91,2024-01-23 22:00:00
RET-00217,ORD-00419,ITM-001032,PROD-0057,CUST-0117,Wrong Size,3185.78,2024-01-22 22:00:00
RET-00218,ORD-00426,ITM-001043,PROD-0059,CUST-0154,Defective Item,128.0,2024-01-06 22:00:00
RET-00219,ORD-00426,ITM-001044,PROD-0022,CUST-0154,Wrong Size,555.17,2024-01-06 22:00:00
RET-00220,ORD-00436,ITM-001075,PROD-0036,CUST-0098,Changed Mind,823.56,2024-01-11 19:00:00
RET-00221,ORD-00436,ITM-001076,PROD-0030,CUST-0098,Late Delivery,1142.98,2024-01-12 19:00:00
RET-00222,ORD-00441,ITM-001085,PROD-0001,CUST-0117,Late Delivery,28.56,2024-01-22 17:00:00
RET-00223,ORD-00441,ITM-001086,PROD-0046,CUST-0117,Wrong Size,721.44,2024-01-19 17:00:00
RET-00224,ORD-00448,ITM-001102,PROD-0056,CUST-0062,Late Delivery,1267.09,2024-01-28 22:00:00
RET-00225,ORD-00448,ITM-001103,PROD-0056,CUST-0062,Defective Item,1712.81,2024-01-29 22:00:00
RET-00226,ORD-00448,ITM-001104,PROD-0039,CUST-0062,Wrong Size,330.45,2024-01-30 22:00:00
RET-00227,ORD-00450,ITM-001109,PROD-0028,CUST-0060,Late Delivery,1814.86,2024-02-03 22:00:00
RET-00228,ORD-00450,ITM-001110,PROD-0019,CUST-0060,Defective Item,491.39,2024-02-04 22:00:00
RET-00229,ORD-00450,ITM-001111,PROD-0009,CUST-0060,Late Delivery,725.72,2024-02-05 22:00:00
RET-00230,ORD-00451,ITM-001112,PROD-0014,CUST-0044,Defective Item,189.47,2024-01-11 01:00:00
RET-00231,ORD-00451,ITM-001113,PROD-0028,CUST-0044,Late Delivery,519.75,2024-01-13 01:00:00
RET-00232,ORD-00457,ITM-001125,PROD-0032,CUST-0177,Defective Item,152.32,2024-01-24 08:00:00
RET-00233,ORD-00457,ITM-001126,PROD-0052,CUST-0177,Wrong Size,1473.82,2024-01-22 08:00:00
RET-00234,ORD-00459,ITM-001129,PROD-0045,CUST-0194,Late Delivery,794.38,2024-02-01 12:00:00
RET-00235,ORD-00459,ITM-001130,PROD-0007,CUST-0194,Defective Item,113.97,2024-02-01 12:00:00
RET-00236,ORD-00459,ITM-001131,PROD-0055,CUST-0194,Wrong Size,1188.31,2024-01-29 12:00:00
RET-00237,ORD-00464,ITM-001141,PROD-0018,CUST-0131,Late Delivery,289.18,2024-01-06 04:00:00
RET-00238,ORD-00464,ITM-001142,PROD-0031,CUST-0131,Defective Item,1793.68,2024-01-06 04:00:00
RET-00239,ORD-00464,ITM-001143,PROD-0021,CUST-0131,Wrong Size,629.05,2024-01-09 04:00:00
