interaction_id,customer_id,channel,sentiment,support_tickets_count,interaction_timestamp
INT-00335,CUST-0021,Mobile App,Positive,2,2024-03-03 10:00:00
INT-00336,CUST-0168,Mobile App,Negative,2,2024-03-04 10:00:00
INT-00337,CUST-0187,In-Store,Neutral,0,2024-03-11 10:00:00
INT-00338,CUST-0087,In-Store,Negative,1,2024-03-06 10:00:00
INT-00339,CUST-0011,Mobile App,Positive,2,2024-03-08 10:00:00
INT-00340,CUST-0156,Mobile App,Negative,2,2024-03-03 10:00:00
INT-00341,CUST-0128,Web,Positive,1,2024-03-03 10:00:00
INT-00342,CUST-0141,Phone Support,Positive,1,2024-03-03 10:00:00
INT-00343,CUST-0081,In-Store,Positive,0,2024-03-04 10:00:00
INT-00344,CUST-0072,In-Store,Neutral,0,2024-03-11 10:00:00
INT-00345,CUST-0019,Phone Support,Neutral,1,2024-03-04 10:00:00
INT-00346,CUST-0066,Mobile App,Positive,2,2024-03-09 10:00:00
INT-00347,CUST-0125,In-Store,Neutral,1,2024-03-02 10:00:00
INT-00348,CUST-0105,Mobile App,Neutral,1,2024-03-11 10:00:00
INT-00349,CUST-0132,In-Store,Neutral,0,2024-03-11 10:00:00
INT-00350,CUST-0175,Phone Support,Neutral,2,2024-03-08 10:00:00
INT-00351,CUST-0011,Web,Negative,0,2024-03-11 10:00:00
INT-00352,CUST-0180,Web,Positive,0,2024-03-10 10:00:00
INT-00353,CUST-0075,Mobile App,Negative,1,2024-03-08 10:00:00
INT-00354,CUST-0219,Mobile App,Neutral,1,2024-03-03 10:00:00
INT-00355,CUST-0172,In-Store,Neutral,1,2024-03-03 10:00:00
INT-00356,CUST-0165,Phone Support,Positive,0,2024-03-10 10:00:00
INT-00357,CUST-0047,Phone Support,Neutral,0,2024-03-03 10:00:00
INT-00358,CUST-0103,Web,Neutral,1,2024-03-07 10:00:00
INT-00359,CUST-0155,Mobile App,Negative,2,2024-03-09 10:00:00
INT-00360,CUST-0122,In-Store,Neutral,0,2024-03-03 10:00:00
INT-00361,CUST-0140,Phone Support,Positive,2,2024-03-04 10:00:00
INT-00362,CUST-0055,Web,Negative,1,2024-03-07 10:00:00
INT-00363,CUST-0016,Phone Support,Neutral,0,2024-03-07 10:00:00
INT-00364,CUST-0014,Web,Negative,1,2024-03-05 10:00:00
INT-00365,CUST-0070,Mobile App,Positive,0,2024-03-06 10:00:00
INT-00366,CUST-0018,Phone Support,Positive,1,2024-03-06 10:00:00
INT-00367,CUST-0183,Phone Support,Negative,0,2024-03-09 10:00:00
INT-00368,CUST-0172,Mobile App,Positive,0,2024-03-06 10:00:00
INT-00369,CUST-0110,In-Store,Positive,0,2024-03-07 10:00:00
INT-00370,CUST-0090,Phone Support,Neutral,2,2024-03-08 10:00:00
INT-00371,CUST-0177,Phone Support,Neutral,2,2024-03-04 10:00:00
INT-00372,CUST-0147,Web,Negative,2,2024-03-08 10:00:00
INT-00373,CUST-0051,Mobile App,Neutral,2,2024-03-03 10:00:00
INT-00374,CUST-0211,Web,Positive,1,2024-03-07 10:00:00
INT-00375,CUST-0038,In-Store,Positive,2,2024-03-09 10:00:00
INT-00376,CUST-0105,Web,Neutral,0,2024-03-06 10:00:00
INT-00377,CUST-0163,Web,Positive,0,2024-03-09 10:00:00
INT-00378,CUST-0191,Phone Support,Negative,2,2024-03-05 10:00:00
INT-00379,CUST-0199,Phone Support,Positive,1,2024-03-04 10:00:00
INT-00380,CUST-0054,Web,Neutral,1,2024-03-05 10:00:00
INT-00381,CUST-0005,In-Store,Negative,0,2024-03-06 10:00:00
INT-00382,CUST-0180,Phone Support,Neutral,1,2024-03-09 10:00:00
INT-00383,CUST-0091,Phone Support,Negative,1,2024-03-07 10:00:00
INT-00384,CUST-0030,Phone Support,Neutral,1,2024-03-04 10:00:00
INT-00385,CUST-0046,Mobile App,Negative,1,2024-03-10 10:00:00
INT-00386,CUST-0098,Phone Support,Negative,1,2024-03-06 10:00:00
INT-00387,CUST-0180,Web,Positive,0,2024-03-11 10:00:00
INT-00388,CUST-0023,Phone Support,Positive,1,2024-03-02 10:00:00
INT-00389,CUST-0192,Web,Negative,1,2024-03-11 10:00:00
INT-00390,CUST-0129,Web,Negative,1,2024-03-11 10:00:00
INT-00391,CUST-0219,Mobile App,Positive,1,2024-03-08 10:00:00
INT-00392,CUST-0142,Web,Positive,1,2024-03-08 10:00:00
INT-00393,CUST-0032,Phone Support,Neutral,2,2024-03-07 10:00:00
INT-00394,CUST-0181,Web,Neutral,0,2024-03-08 10:00:00
INT-00395,CUST-0130,In-Store,Negative,1,2024-03-06 10:00:00
INT-00396,CUST-0079,Mobile App,Positive,1,2024-03-08 10:00:00
INT-00397,CUST-0009,Web,Positive,1,2024-03-02 10:00:00
INT-00398,CUST-0216,In-Store,Neutral,0,2024-03-10 10:00:00
INT-00399,CUST-0147,Mobile App,Negative,1,2024-03-08 10:00:00
