interaction_id,customer_id,channel,sentiment,support_tickets_count,interaction_timestamp,_ingest_timestamp,_source_file,_source_system,_batch_id
INT-00072,CUST-0080,Web,Positive,1,2024-01-22 04:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00073,CUST-0041,Web,Neutral,3,2024-02-09 11:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00074,CUST-0170,Phone Support,Neutral,2,2024-01-29 01:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00075,CUST-0056,In-Store,Neutral,0,2024-02-02 13:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00076,CUST-0073,Phone Support,Negative,2,2024-02-14 07:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00077,CUST-0012,Web,Positive,1,2024-01-15 22:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00078,CUST-0078,In-Store,Neutral,2,2024-01-14 14:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00079,CUST-0031,Phone Support,Positive,1,2024-01-02 01:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00080,CUST-0098,Mobile App,Negative,2,2024-02-05 08:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00081,CUST-0019,Web,Neutral,0,2024-01-27 09:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00082,CUST-0118,Phone Support,Negative,3,2024-01-05 20:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00083,CUST-0182,In-Store,Positive,3,2024-02-10 23:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00084,CUST-0006,Phone Support,Negative,2,2024-01-21 15:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00085,CUST-0023,Mobile App,Neutral,3,2024-01-28 13:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00086,CUST-0135,In-Store,Negative,2,2024-01-06 22:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00087,CUST-0057,Web,Negative,0,2024-01-22 15:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00088,CUST-0136,In-Store,Neutral,1,2024-02-02 16:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00089,CUST-0061,In-Store,Positive,1,2024-01-07 14:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00090,CUST-0155,Web,Positive,3,2024-01-11 06:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00091,CUST-0119,Phone Support,Negative,2,2024-02-07 04:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00092,CUST-0161,Phone Support,Positive,3,2024-01-21 14:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00093,CUST-0114,In-Store,Negative,0,2024-02-10 19:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00094,CUST-0091,In-Store,Neutral,3,2024-02-02 12:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00095,CUST-0010,In-Store,Positive,0,2024-01-04 21:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00096,CUST-0158,Phone Support,Neutral,0,2024-02-09 02:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00097,CUST-0116,Mobile App,Neutral,3,2024-02-07 06:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00098,CUST-0129,Phone Support,Positive,2,2024-01-10 11:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00099,CUST-0183,Mobile App,Positive,1,2024-01-07 02:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00100,CUST-0182,Mobile App,Neutral,2,2024-01-30 00:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00101,CUST-0073,In-Store,Negative,0,2024-01-25 23:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00102,CUST-0162,Web,Neutral,0,2024-02-11 20:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00103,CUST-0143,In-Store,Neutral,1,2024-02-13 22:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00104,CUST-0086,Mobile App,Neutral,2,2024-01-07 04:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00105,CUST-0168,Phone Support,Positive,0,2024-02-15 07:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00106,CUST-0080,In-Store,Positive,0,2024-02-05 22:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00107,CUST-0166,In-Store,Positive,2,2024-02-12 23:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00108,CUST-0080,In-Store,Neutral,1,2024-01-12 16:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00109,CUST-0058,Web,Neutral,0,2024-01-09 14:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00110,CUST-0130,Web,Negative,2,2024-02-05 09:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00111,CUST-0197,Phone Support,Positive,1,2024-02-09 14:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00112,CUST-0047,Mobile App,Negative,3,2024-02-15 05:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00113,CUST-0012,Mobile App,Neutral,2,2024-01-27 21:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00114,CUST-0193,Mobile App,Neutral,3,2024-01-29 17:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00115,CUST-0050,Phone Support,Neutral,2,2024-01-25 07:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00116,CUST-0200,Phone Support,Positive,1,2024-01-26 02:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00117,CUST-0155,Web,Negative,3,2024-01-09 18:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00118,CUST-0096,Web,Neutral,0,2024-02-05 13:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00119,CUST-0196,Phone Support,Negative,1,2024-01-11 18:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00120,CUST-0112,Phone Support,Neutral,0,2024-01-06 17:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00121,CUST-0107,In-Store,Positive,3,2024-01-04 22:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00122,CUST-0021,Web,Neutral,0,2024-01-24 17:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00123,CUST-0183,Mobile App,Positive,0,2024-02-11 20:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00124,CUST-0074,Mobile App,Negative,3,2024-02-01 08:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00125,CUST-0115,Web,Positive,2,2024-02-09 10:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00126,CUST-0056,Phone Support,Positive,2,2024-01-11 03:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00127,CUST-0061,Web,Positive,3,2024-01-20 13:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00128,CUST-0164,Web,Positive,3,2024-02-10 00:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00129,CUST-0153,Mobile App,Negative,1,2024-02-04 10:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00130,CUST-0075,In-Store,Positive,3,2024-01-28 10:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00131,CUST-0048,Web,Negative,2,2024-02-13 07:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00132,CUST-0018,Web,Neutral,3,2024-02-04 03:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00133,CUST-0012,In-Store,Neutral,0,2024-02-10 22:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00134,CUST-0092,Mobile App,Negative,0,2024-01-05 21:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00135,CUST-0198,In-Store,Positive,0,2024-02-08 09:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00136,CUST-0091,Mobile App,Negative,3,2024-02-04 20:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00137,CUST-0179,Mobile App,Positive,0,2024-02-01 06:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00138,CUST-0184,In-Store,Positive,0,2024-01-30 11:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00139,CUST-0052,In-Store,Negative,3,2024-01-03 20:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00140,CUST-0140,Web,Negative,1,2024-01-31 18:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00141,CUST-0074,In-Store,Neutral,0,2024-01-23 11:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00142,CUST-0095,Phone Support,Neutral,2,2024-01-28 22:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00143,CUST-0048,Phone Support,Neutral,2,2024-02-02 08:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00144,CUST-0022,Phone Support,Negative,1,2024-01-28 12:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00145,CUST-0140,Web,Positive,2,2024-01-19 20:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00146,CUST-0170,Phone Support,Negative,3,2024-01-19 19:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00147,CUST-0043,In-Store,Neutral,0,2024-02-15 00:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00148,CUST-0187,Phone Support,Neutral,0,2024-01-24 05:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00149,CUST-0020,Phone Support,Neutral,1,2024-02-13 06:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00150,CUST-0008,Phone Support,Positive,1,2024-01-11 05:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00151,CUST-0018,In-Store,Neutral,3,2024-01-17 06:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00152,CUST-0146,Mobile App,Negative,3,2024-01-04 05:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00153,CUST-0095,Web,Negative,1,2024-01-25 00:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00154,CUST-0136,In-Store,Negative,2,2024-01-24 22:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00155,CUST-0064,Mobile App,Neutral,3,2024-01-08 10:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00156,CUST-0144,In-Store,Negative,3,2024-01-08 18:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00157,CUST-0055,Phone Support,Positive,0,2024-02-09 19:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00158,CUST-0035,Mobile App,Negative,3,2024-01-06 00:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00159,CUST-0023,In-Store,Negative,0,2024-02-13 20:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00160,CUST-0141,In-Store,Positive,1,2024-02-04 19:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00161,CUST-0093,Web,Positive,1,2024-02-02 17:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00162,CUST-0061,In-Store,Negative,2,2024-02-01 10:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00163,CUST-0120,Web,Positive,2,2024-02-05 14:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00164,CUST-0102,Phone Support,Negative,3,2024-02-16 09:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00165,CUST-0197,Web,Positive,2,2024-01-28 04:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00166,CUST-0165,Phone Support,Negative,2,2024-01-06 00:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00167,CUST-0033,Mobile App,Positive,3,2024-02-06 06:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00168,CUST-0129,Mobile App,Neutral,1,2024-01-04 13:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00169,CUST-0042,Mobile App,Neutral,2,2024-01-22 08:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00170,CUST-0021,In-Store,Positive,2,2024-01-17 16:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00171,CUST-0158,Mobile App,Negative,1,2024-02-04 12:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00172,CUST-0044,In-Store,Negative,0,2024-02-13 05:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00173,CUST-0008,In-Store,Negative,1,2024-01-06 11:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00174,CUST-0197,Web,Neutral,2,2024-02-06 23:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00175,CUST-0165,Mobile App,Negative,3,2024-01-21 01:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00176,CUST-0077,Web,Positive,3,2024-01-30 12:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00177,CUST-0107,Mobile App,Neutral,1,2024-02-01 00:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00178,CUST-0081,In-Store,Neutral,1,2024-02-15 20:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00179,CUST-0195,Web,Neutral,1,2024-01-25 02:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00180,CUST-0120,Phone Support,Positive,1,2024-01-08 18:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00181,CUST-0025,Phone Support,Negative,3,2024-01-04 19:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00182,CUST-0064,In-Store,Positive,1,2024-01-11 20:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00183,CUST-0128,Phone Support,Neutral,3,2024-02-03 00:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00184,CUST-0006,Phone Support,Positive,1,2024-01-06 22:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
