order_id,customer_id,store_id,order_status,payment_method,order_timestamp,updated_at
ORD-00532,CUST-0150,STR-008,DELIVERED,UPI,2024-03-03 10:00:00,2024-03-03 10:00:00
ORD-00533,CUST-0164,STR-008,RETURNED,Cash,2024-03-03 10:00:00,2024-03-03 10:00:00
ORD-00534,CUST-0170,STR-008,PROCESSING,PayPal,2024-03-06 10:00:00,2024-03-06 10:00:00
ORD-00535,CUST-0197,STR-005,PROCESSING,Cash,2024-03-03 10:00:00,2024-03-03 10:00:00
ORD-00536,CUST-0178,STR-002,CANCELLED,Credit Card,2024-03-03 10:00:00,2024-03-03 10:00:00
ORD-00537,CUST-0120,STR-007,CANCELLED,Credit Card,2024-03-05 10:00:00,2024-03-05 10:00:00
ORD-00538,CUST-0182,STR-008,RETURNED,Credit Card,2024-03-04 10:00:00,2024-03-04 10:00:00
ORD-00539,CUST-0099,STR-008,RETURNED,Debit Card,2024-03-11 10:00:00,2024-03-11 10:00:00
ORD-00540,CUST-0043,STR-005,COMPLETED,Debit Card,2024-03-11 10:00:00,2024-03-11 10:00:00
ORD-00541,CUST-0062,STR-001,DELIVERED,UPI,2024-03-09 10:00:00,2024-03-09 10:00:00
ORD-00542,CUST-0091,STR-005,RETURNED,Credit Card,2024-03-03 10:00:00,2024-03-03 10:00:00
ORD-00543,CUST-0129,STR-007,PROCESSING,Credit Card,2024-03-10 10:00:00,2024-03-10 10:00:00
ORD-00544,CUST-0167,STR-007,DELIVERED,UPI,2024-03-08 10:00:00,2024-03-08 10:00:00
ORD-00545,CUST-0153,STR-005,RETURNED,PayPal,2024-03-10 10:00:00,2024-03-10 10:00:00
ORD-00546,CUST-0029,STR-004,COMPLETED,Credit Card,2024-03-03 10:00:00,2024-03-03 10:00:00
ORD-00547,CUST-0159,STR-007,CANCELLED,Credit Card,2024-03-08 10:00:00,2024-03-08 10:00:00
ORD-00548,CUST-0127,STR-004,DELIVERED,UPI,2024-03-04 10:00:00,2024-03-04 10:00:00
ORD-00549,CUST-0129,STR-010,PROCESSING,Debit Card,2024-03-09 10:00:00,2024-03-09 10:00:00
ORD-00550,CUST-0043,STR-003,CANCELLED,Debit Card,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00551,CUST-0110,STR-006,DELIVERED,UPI,2024-03-02 10:00:00,2024-03-02 10:00:00
ORD-00552,CUST-0153,STR-006,RETURNED,Credit Card,2024-03-09 10:00:00,2024-03-09 10:00:00
ORD-00553,CUST-0012,STR-001,PROCESSING,Debit Card,2024-03-11 10:00:00,2024-03-11 10:00:00
ORD-00554,CUST-0026,STR-005,CANCELLED,PayPal,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00555,CUST-0118,STR-001,PROCESSING,UPI,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00556,CUST-0038,STR-007,DELIVERED,UPI,2024-03-05 10:00:00,2024-03-05 10:00:00
ORD-00557,CUST-0093,STR-004,DELIVERED,PayPal,2024-03-03 10:00:00,2024-03-03 10:00:00
ORD-00558,CUST-0068,STR-006,CANCELLED,Cash,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00559,CUST-0149,STR-009,RETURNED,Credit Card,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00560,CUST-0074,STR-002,CANCELLED,Debit Card,2024-03-02 10:00:00,2024-03-02 10:00:00
ORD-00561,CUST-0160,STR-009,PROCESSING,PayPal,2024-03-04 10:00:00,2024-03-04 10:00:00
ORD-00562,CUST-0011,STR-004,RETURNED,Credit Card,2024-03-06 10:00:00,2024-03-06 10:00:00
ORD-00563,CUST-0002,STR-007,COMPLETED,Credit Card,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00564,CUST-0202,STR-009,DELIVERED,Credit Card,2024-03-10 10:00:00,2024-03-10 10:00:00
ORD-00565,CUST-0075,STR-004,CANCELLED,UPI,2024-03-02 10:00:00,2024-03-02 10:00:00
ORD-00566,CUST-0109,STR-007,PROCESSING,UPI,2024-03-03 10:00:00,2024-03-03 10:00:00
ORD-00567,CUST-0206,STR-010,DELIVERED,UPI,2024-03-04 10:00:00,2024-03-04 10:00:00
ORD-00568,CUST-0078,STR-005,PROCESSING,Cash,2024-03-03 10:00:00,2024-03-03 10:00:00
ORD-00569,CUST-0135,STR-008,RETURNED,UPI,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00570,CUST-0106,STR-008,RETURNED,Credit Card,2024-03-02 10:00:00,2024-03-02 10:00:00
ORD-00571,CUST-0202,STR-004,RETURNED,UPI,2024-03-11 10:00:00,2024-03-11 10:00:00
ORD-00572,CUST-0014,STR-007,CANCELLED,Credit Card,2024-03-04 10:00:00,2024-03-04 10:00:00
ORD-00573,CUST-0022,STR-001,COMPLETED,UPI,2024-03-06 10:00:00,2024-03-06 10:00:00
ORD-00574,CUST-0016,STR-002,RETURNED,Credit Card,2024-03-11 10:00:00,2024-03-11 10:00:00
ORD-00575,CUST-0173,STR-003,PROCESSING,Credit Card,2024-03-06 10:00:00,2024-03-06 10:00:00
ORD-00576,CUST-0001,STR-003,COMPLETED,Cash,2024-03-11 10:00:00,2024-03-11 10:00:00
ORD-00577,CUST-0027,STR-008,RETURNED,PayPal,2024-03-02 10:00:00,2024-03-02 10:00:00
ORD-00578,CUST-0124,STR-003,RETURNED,UPI,2024-03-05 10:00:00,2024-03-05 10:00:00
ORD-00579,CUST-0163,STR-001,DELIVERED,Debit Card,2024-03-04 10:00:00,2024-03-04 10:00:00
ORD-00580,CUST-0122,STR-008,PROCESSING,Credit Card,2024-03-06 10:00:00,2024-03-06 10:00:00
ORD-00581,CUST-0179,STR-002,CANCELLED,PayPal,2024-03-09 10:00:00,2024-03-09 10:00:00
ORD-00582,CUST-0118,STR-002,CANCELLED,Credit Card,2024-03-11 10:00:00,2024-03-11 10:00:00
ORD-00583,CUST-0036,STR-008,PROCESSING,Credit Card,2024-03-09 10:00:00,2024-03-09 10:00:00
ORD-00584,CUST-0090,STR-009,RETURNED,Credit Card,2024-03-08 10:00:00,2024-03-08 10:00:00
ORD-00585,CUST-0091,STR-010,CANCELLED,Debit Card,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00586,CUST-0018,STR-008,CANCELLED,Cash,2024-03-08 10:00:00,2024-03-08 10:00:00
ORD-00587,CUST-0150,STR-010,COMPLETED,Credit Card,2024-03-08 10:00:00,2024-03-08 10:00:00
ORD-00588,CUST-0060,STR-002,CANCELLED,PayPal,2024-03-03 10:00:00,2024-03-03 10:00:00
ORD-00589,CUST-0027,STR-003,CANCELLED,Credit Card,2024-03-08 10:00:00,2024-03-08 10:00:00
ORD-00590,CUST-0030,STR-001,CANCELLED,UPI,2024-03-03 10:00:00,2024-03-03 10:00:00
ORD-00591,CUST-0179,STR-008,DELIVERED,Cash,2024-03-08 10:00:00,2024-03-08 10:00:00
ORD-00592,CUST-0058,STR-004,CANCELLED,Cash,2024-03-04 10:00:00,2024-03-04 10:00:00
ORD-00593,CUST-0162,STR-002,COMPLETED,Debit Card,2024-03-05 10:00:00,2024-03-05 10:00:00
ORD-00594,CUST-0146,STR-009,PROCESSING,Debit Card,2024-03-03 10:00:00,2024-03-03 10:00:00
ORD-00595,CUST-0129,STR-006,RETURNED,Cash,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00596,CUST-0113,STR-007,COMPLETED,Cash,2024-03-08 10:00:00,2024-03-08 10:00:00
ORD-00597,CUST-0026,STR-002,DELIVERED,Credit Card,2024-03-09 10:00:00,2024-03-09 10:00:00
ORD-00598,CUST-0213,STR-005,PROCESSING,Credit Card,2024-03-08 10:00:00,2024-03-08 10:00:00
ORD-00599,CUST-0137,STR-010,RETURNED,Cash,2024-03-05 10:00:00,2024-03-05 10:00:00
ORD-00600,CUST-0150,STR-008,COMPLETED,Credit Card,2024-03-06 10:00:00,2024-03-06 10:00:00
ORD-00601,CUST-0196,STR-001,DELIVERED,Cash,2024-03-04 10:00:00,2024-03-04 10:00:00
ORD-00602,CUST-0089,STR-002,RETURNED,Cash,2024-03-08 10:00:00,2024-03-08 10:00:00
ORD-00603,CUST-0034,STR-005,COMPLETED,Credit Card,2024-03-02 10:00:00,2024-03-02 10:00:00
ORD-00604,CUST-0111,STR-008,DELIVERED,Credit Card,2024-03-06 10:00:00,2024-03-06 10:00:00
ORD-00605,CUST-0137,STR-010,COMPLETED,Cash,2024-03-08 10:00:00,2024-03-08 10:00:00
ORD-00606,CUST-0179,STR-003,CANCELLED,Cash,2024-03-08 10:00:00,2024-03-08 10:00:00
ORD-00607,CUST-0031,STR-010,PROCESSING,Debit Card,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00608,CUST-0024,STR-010,DELIVERED,PayPal,2024-03-02 10:00:00,2024-03-02 10:00:00
ORD-00609,CUST-0209,STR-001,COMPLETED,Debit Card,2024-03-03 10:00:00,2024-03-03 10:00:00
ORD-00610,CUST-0090,STR-010,PROCESSING,Debit Card,2024-03-05 10:00:00,2024-03-05 10:00:00
ORD-00611,CUST-0020,STR-005,DELIVERED,PayPal,2024-03-10 10:00:00,2024-03-10 10:00:00
ORD-00612,CUST-0094,STR-009,DELIVERED,Cash,2024-03-06 10:00:00,2024-03-06 10:00:00
ORD-00613,CUST-0106,STR-010,PROCESSING,Credit Card,2024-03-09 10:00:00,2024-03-09 10:00:00
ORD-00614,CUST-0216,STR-009,PROCESSING,Cash,2024-03-05 10:00:00,2024-03-05 10:00:00
ORD-00615,CUST-0186,STR-003,DELIVERED,PayPal,2024-03-02 10:00:00,2024-03-02 10:00:00
ORD-00616,CUST-0070,STR-005,CANCELLED,UPI,2024-03-11 10:00:00,2024-03-11 10:00:00
ORD-00617,CUST-0219,STR-010,CANCELLED,Credit Card,2024-03-08 10:00:00,2024-03-08 10:00:00
ORD-00618,CUST-0053,STR-007,CANCELLED,Cash,2024-03-04 10:00:00,2024-03-04 10:00:00
ORD-00619,CUST-0009,STR-009,COMPLETED,Cash,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00620,CUST-0194,STR-001,RETURNED,PayPal,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00621,CUST-0142,STR-007,RETURNED,PayPal,2024-03-06 10:00:00,2024-03-06 10:00:00
ORD-00622,CUST-0120,STR-004,COMPLETED,UPI,2024-03-04 10:00:00,2024-03-04 10:00:00
ORD-00623,CUST-0010,STR-010,PROCESSING,UPI,2024-03-06 10:00:00,2024-03-06 10:00:00
ORD-00624,CUST-0215,STR-005,CANCELLED,PayPal,2024-03-04 10:00:00,2024-03-04 10:00:00
ORD-00625,CUST-0120,STR-001,CANCELLED,Cash,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00626,CUST-0149,STR-002,RETURNED,Cash,2024-03-06 10:00:00,2024-03-06 10:00:00
ORD-00627,CUST-0197,STR-005,CANCELLED,Debit Card,2024-03-06 10:00:00,2024-03-06 10:00:00
ORD-00628,CUST-0038,STR-010,DELIVERED,Credit Card,2024-03-02 10:00:00,2024-03-02 10:00:00
ORD-00629,CUST-0011,STR-009,COMPLETED,UPI,2024-03-05 10:00:00,2024-03-05 10:00:00
ORD-00630,CUST-0154,STR-004,COMPLETED,Credit Card,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00631,CUST-0084,STR-010,CANCELLED,Credit Card,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00632,CUST-0086,STR-007,CANCELLED,UPI,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00633,CUST-0152,STR-001,RETURNED,Debit Card,2024-03-03 10:00:00,2024-03-03 10:00:00
ORD-00634,CUST-0213,STR-010,DELIVERED,PayPal,2024-03-02 10:00:00,2024-03-02 10:00:00
ORD-00635,CUST-0138,STR-002,COMPLETED,Cash,2024-03-10 10:00:00,2024-03-10 10:00:00
ORD-00636,CUST-0050,STR-010,DELIVERED,UPI,2024-03-06 10:00:00,2024-03-06 10:00:00
ORD-00637,CUST-0060,STR-008,COMPLETED,Debit Card,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00638,CUST-0091,STR-009,COMPLETED,UPI,2024-03-10 10:00:00,2024-03-10 10:00:00
ORD-00639,CUST-0138,STR-004,RETURNED,Debit Card,2024-03-08 10:00:00,2024-03-08 10:00:00
ORD-00640,CUST-0105,STR-007,DELIVERED,Cash,2024-03-10 10:00:00,2024-03-10 10:00:00
ORD-00641,CUST-0117,STR-001,COMPLETED,PayPal,2024-03-04 10:00:00,2024-03-04 10:00:00
ORD-00642,CUST-0033,STR-001,COMPLETED,Debit Card,2024-03-08 10:00:00,2024-03-08 10:00:00
ORD-00643,CUST-0109,STR-006,CANCELLED,Cash,2024-03-04 10:00:00,2024-03-04 10:00:00
ORD-00644,CUST-0031,STR-006,RETURNED,Cash,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00645,CUST-0162,STR-008,PROCESSING,PayPal,2024-03-08 10:00:00,2024-03-08 10:00:00
ORD-00646,CUST-0152,STR-010,CANCELLED,PayPal,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00647,CUST-0198,STR-002,PROCESSING,PayPal,2024-03-05 10:00:00,2024-03-05 10:00:00
ORD-00648,CUST-0099,STR-006,DELIVERED,Credit Card,2024-03-04 10:00:00,2024-03-04 10:00:00
ORD-00649,CUST-0026,STR-006,DELIVERED,Credit Card,2024-03-06 10:00:00,2024-03-06 10:00:00
