item_id,order_id,product_id,quantity,unit_price,discount_amount,tax_amount,updated_at
ITM-001330,ORD-00548,PROD-0019,3,101.24,30.37,21.87,2024-03-04 10:00:00
ITM-001331,ORD-00548,PROD-0047,1,504.71,50.47,36.34,2024-03-04 10:00:00
ITM-001332,ORD-00548,PROD-0007,2,59.89,11.98,8.62,2024-03-04 10:00:00
ITM-001333,ORD-00549,PROD-0021,1,704.47,70.45,50.72,2024-03-09 10:00:00
ITM-001334,ORD-00550,PROD-0043,4,229.48,91.79,66.09,2024-03-07 10:00:00
ITM-001335,ORD-00551,PROD-0011,1,664.57,66.46,47.85,2024-03-02 10:00:00
ITM-001336,ORD-00552,PROD-0056,2,480.47,96.09,69.19,2024-03-09 10:00:00
ITM-001337,ORD-00552,PROD-0031,1,469.43,46.94,33.8,2024-03-09 10:00:00
ITM-001338,ORD-00553,PROD-0033,2,339.92,67.98,48.95,2024-03-11 10:00:00
ITM-001339,ORD-00553,PROD-0049,2,269.98,54.0,38.88,2024-03-11 10:00:00
ITM-001340,ORD-00553,PROD-0050,1,165.94,16.59,11.95,2024-03-11 10:00:00
ITM-001341,ORD-00554,PROD-0023,3,689.9,206.97,149.02,2024-03-07 10:00:00
ITM-001342,ORD-00554,PROD-0043,4,229.48,91.79,66.09,2024-03-07 10:00:00
ITM-001343,ORD-00554,PROD-0017,3,387.29,116.19,83.65,2024-03-07 10:00:00
ITM-001344,ORD-00555,PROD-0050,4,165.94,66.38,47.79,2024-03-07 10:00:00
ITM-001345,ORD-00555,PROD-0008,3,308.14,92.44,66.56,2024-03-07 10:00:00
ITM-001346,ORD-00555,PROD-0044,1,113.49,11.35,8.17,2024-03-07 10:00:00
ITM-001347,ORD-00556,PROD-0002,2,422.64,84.53,60.86,2024-03-05 10:00:00
ITM-001348,ORD-00556,PROD-0037,4,603.32,241.33,173.76,2024-03-05 10:00:00
ITM-001349,ORD-00557,PROD-0007,3,59.89,17.97,12.94,2024-03-03 10:00:00
ITM-001350,ORD-00557,PROD-0057,4,666.33,266.53,191.9,2024-03-03 10:00:00
ITM-001351,ORD-00557,PROD-0057,2,666.33,133.27,95.95,2024-03-03 10:00:00
ITM-001352,ORD-00558,PROD-0018,3,328.3,98.49,70.91,2024-03-07 10:00:00
ITM-001353,ORD-00558,PROD-0013,1,702.72,70.27,50.6,2024-03-07 10:00:00
ITM-001354,ORD-00559,PROD-0051,4,470.26,188.1,135.44,2024-03-07 10:00:00
ITM-001355,ORD-00559,PROD-0037,3,603.32,181.0,130.32,2024-03-07 10:00:00
ITM-001356,ORD-00560,PROD-0044,2,113.49,22.7,16.34,2024-03-02 10:00:00
ITM-001357,ORD-00560,PROD-0034,3,266.5,79.95,57.56,2024-03-02 10:00:00
ITM-001358,ORD-00561,PROD-0005,3,377.85,113.36,81.62,2024-03-04 10:00:00
ITM-001359,ORD-00561,PROD-0001,4,32.3,12.92,9.3,2024-03-04 10:00:00
ITM-001360,ORD-00562,PROD-0032,3,56.77,17.03,12.26,2024-03-06 10:00:00
ITM-001361,ORD-00563,PROD-0009,3,206.06,61.82,44.51,2024-03-07 10:00:00
ITM-001362,ORD-00563,PROD-0057,3,666.33,199.9,143.93,2024-03-07 10:00:00
ITM-001363,ORD-00564,PROD-0018,2,328.3,65.66,47.28,2024-03-10 10:00:00
ITM-001364,ORD-00564,PROD-0047,2,504.71,100.94,72.68,2024-03-10 10:00:00
ITM-001365,ORD-00564,PROD-0028,1,532.55,53.25,38.34,2024-03-10 10:00:00
ITM-001366,ORD-00565,PROD-0052,4,502.79,201.12,144.8,2024-03-02 10:00:00
ITM-001367,ORD-00566,PROD-0020,2,446.28,89.26,64.26,2024-03-03 10:00:00
ITM-001368,ORD-00566,PROD-0037,4,603.32,241.33,173.76,2024-03-03 10:00:00
ITM-001369,ORD-00566,PROD-0044,3,113.49,34.05,24.51,2024-03-03 10:00:00
ITM-001370,ORD-00567,PROD-0027,2,310.4,62.08,44.7,2024-03-04 10:00:00
ITM-001371,ORD-00568,PROD-0030,2,403.71,80.74,58.13,2024-03-03 10:00:00
ITM-001372,ORD-00568,PROD-0025,4,542.08,216.83,156.12,2024-03-03 10:00:00
ITM-001373,ORD-00568,PROD-0007,2,59.89,11.98,8.62,2024-03-03 10:00:00
ITM-001374,ORD-00569,PROD-0023,4,689.9,275.96,198.69,2024-03-07 10:00:00
ITM-001375,ORD-00569,PROD-0030,4,403.71,161.48,116.27,2024-03-07 10:00:00
ITM-001376,ORD-00570,PROD-0006,2,107.73,21.55,15.51,2024-03-02 10:00:00
ITM-001377,ORD-00570,PROD-0040,3,605.15,181.54,130.71,2024-03-02 10:00:00
ITM-001378,ORD-00571,PROD-0040,3,605.15,181.54,130.71,2024-03-11 10:00:00
ITM-001379,ORD-00572,PROD-0052,4,502.79,201.12,144.8,2024-03-04 10:00:00
ITM-001380,ORD-00572,PROD-0054,1,317.91,31.79,22.89,2024-03-04 10:00:00
ITM-001381,ORD-00573,PROD-0007,3,59.89,17.97,12.94,2024-03-06 10:00:00
ITM-001382,ORD-00573,PROD-0037,4,603.32,241.33,173.76,2024-03-06 10:00:00
ITM-001383,ORD-00573,PROD-0045,3,443.87,133.16,95.88,2024-03-06 10:00:00
ITM-001384,ORD-00574,PROD-0014,2,106.8,21.36,15.38,2024-03-11 10:00:00
ITM-001385,ORD-00574,PROD-0036,4,428.31,171.32,123.35,2024-03-11 10:00:00
ITM-001386,ORD-00574,PROD-0009,2,206.06,41.21,29.67,2024-03-11 10:00:00
ITM-001387,ORD-00575,PROD-0040,2,605.15,121.03,87.14,2024-03-06 10:00:00
ITM-001388,ORD-00575,PROD-0008,1,308.14,30.81,22.19,2024-03-06 10:00:00
ITM-001389,ORD-00576,PROD-0016,2,666.37,133.27,95.96,2024-03-11 10:00:00
ITM-001390,ORD-00577,PROD-0004,1,787.13,78.71,56.67,2024-03-02 10:00:00
ITM-001391,ORD-00577,PROD-0020,4,446.28,178.51,128.53,2024-03-02 10:00:00
ITM-001392,ORD-00578,PROD-0044,4,113.49,45.4,32.68,2024-03-05 10:00:00
ITM-001393,ORD-00578,PROD-0055,1,425.29,42.53,30.62,2024-03-05 10:00:00
ITM-001394,ORD-00578,PROD-0028,2,532.55,106.51,76.69,2024-03-05 10:00:00
ITM-001395,ORD-00579,PROD-0033,2,339.92,67.98,48.95,2024-03-04 10:00:00
ITM-001396,ORD-00580,PROD-0032,3,56.77,17.03,12.26,2024-03-06 10:00:00
ITM-001397,ORD-00580,PROD-0043,3,229.48,68.84,49.57,2024-03-06 10:00:00
ITM-001398,ORD-00580,PROD-0026,4,82.97,33.19,23.9,2024-03-06 10:00:00
ITM-001399,ORD-00581,PROD-0002,3,422.64,126.79,91.29,2024-03-09 10:00:00
ITM-001400,ORD-00582,PROD-0020,1,446.28,44.63,32.13,2024-03-11 10:00:00
ITM-001401,ORD-00582,PROD-0042,4,355.95,142.38,102.51,2024-03-11 10:00:00
ITM-001402,ORD-00582,PROD-0003,3,219.21,65.76,47.35,2024-03-11 10:00:00
ITM-001403,ORD-00583,PROD-0023,2,689.9,137.98,99.35,2024-03-09 10:00:00
ITM-001404,ORD-00584,PROD-0042,2,355.95,71.19,51.26,2024-03-08 10:00:00
ITM-001405,ORD-00585,PROD-0051,3,470.26,141.08,101.58,2024-03-07 10:00:00
ITM-001406,ORD-00585,PROD-0060,4,209.1,83.64,60.22,2024-03-07 10:00:00
ITM-001407,ORD-00586,PROD-0012,3,564.68,169.4,121.97,2024-03-08 10:00:00
ITM-001408,ORD-00586,PROD-0009,3,206.06,61.82,44.51,2024-03-08 10:00:00
ITM-001409,ORD-00586,PROD-0038,3,217.47,65.24,46.97,2024-03-08 10:00:00
ITM-001410,ORD-00587,PROD-0055,2,425.29,85.06,61.24,2024-03-08 10:00:00
ITM-001411,ORD-00588,PROD-0049,2,269.98,54.0,38.88,2024-03-03 10:00:00
ITM-001412,ORD-00588,PROD-0050,2,165.94,33.19,23.9,2024-03-03 10:00:00
ITM-001413,ORD-00589,PROD-0040,3,605.15,181.54,130.71,2024-03-08 10:00:00
ITM-001414,ORD-00590,PROD-0041,1,308.67,30.87,22.22,2024-03-03 10:00:00
ITM-001415,ORD-00590,PROD-0060,2,209.1,41.82,30.11,2024-03-03 10:00:00
ITM-001416,ORD-00590,PROD-0021,1,704.47,70.45,50.72,2024-03-03 10:00:00
ITM-001417,ORD-00591,PROD-0013,2,702.72,140.54,101.19,2024-03-08 10:00:00
ITM-001418,ORD-00591,PROD-0017,4,387.29,154.92,111.54,2024-03-08 10:00:00
ITM-001419,ORD-00591,PROD-0029,3,323.43,97.03,69.86,2024-03-08 10:00:00
ITM-001420,ORD-00592,PROD-0006,1,107.73,10.77,7.76,2024-03-04 10:00:00
ITM-001421,ORD-00593,PROD-0024,4,402.36,160.94,115.88,2024-03-05 10:00:00
ITM-001422,ORD-00594,PROD-0047,4,504.71,201.88,145.36,2024-03-03 10:00:00
ITM-001423,ORD-00594,PROD-0013,2,702.72,140.54,101.19,2024-03-03 10:00:00
ITM-001424,ORD-00594,PROD-0037,4,603.32,241.33,173.76,2024-03-03 10:00:00
ITM-001425,ORD-00595,PROD-0052,1,502.79,50.28,36.2,2024-03-07 10:00:00
ITM-001426,ORD-00596,PROD-0009,3,206.06,61.82,44.51,2024-03-08 10:00:00
ITM-001427,ORD-00597,PROD-0035,3,393.28,117.98,84.95,2024-03-09 10:00:00
ITM-001428,ORD-00597,PROD-0002,2,422.64,84.53,60.86,2024-03-09 10:00:00
ITM-001429,ORD-00597,PROD-0053,3,573.78,172.13,123.94,2024-03-09 10:00:00
ITM-001430,ORD-00598,PROD-0019,1,101.24,10.12,7.29,2024-03-08 10:00:00
ITM-001431,ORD-00599,PROD-0020,4,446.28,178.51,128.53,2024-03-05 10:00:00
ITM-001432,ORD-00599,PROD-0040,1,605.15,60.52,43.57,2024-03-05 10:00:00
ITM-001433,ORD-00599,PROD-0035,1,393.28,39.33,28.32,2024-03-05 10:00:00
ITM-001434,ORD-00600,PROD-0027,3,310.4,93.12,67.05,2024-03-06 10:00:00
ITM-001435,ORD-00600,PROD-0013,3,702.72,210.82,151.79,2024-03-06 10:00:00
ITM-001436,ORD-00601,PROD-0022,1,309.11,30.91,22.26,2024-03-04 10:00:00
ITM-001437,ORD-00601,PROD-0016,4,666.37,266.55,191.91,2024-03-04 10:00:00
ITM-001438,ORD-00601,PROD-0005,1,377.85,37.79,27.2,2024-03-04 10:00:00
ITM-001439,ORD-00602,PROD-0057,4,666.33,266.53,191.9,2024-03-08 10:00:00
ITM-001440,ORD-00603,PROD-0033,2,339.92,67.98,48.95,2024-03-02 10:00:00
ITM-001441,ORD-00603,PROD-0042,3,355.95,106.78,76.89,2024-03-02 10:00:00
ITM-001442,ORD-00604,PROD-0002,2,422.64,84.53,60.86,2024-03-06 10:00:00
ITM-001443,ORD-00605,PROD-0004,4,787.13,314.85,226.69,2024-03-08 10:00:00
ITM-001444,ORD-00605,PROD-0050,4,165.94,66.38,47.79,2024-03-08 10:00:00
ITM-001445,ORD-00606,PROD-0008,4,308.14,123.26,88.74,2024-03-08 10:00:00
ITM-001446,ORD-00607,PROD-0028,1,532.55,53.25,38.34,2024-03-07 10:00:00
ITM-001447,ORD-00607,PROD-0016,2,666.37,133.27,95.96,2024-03-07 10:00:00
ITM-001448,ORD-00608,PROD-0049,1,269.98,27.0,19.44,2024-03-02 10:00:00
ITM-001449,ORD-00608,PROD-0052,1,502.79,50.28,36.2,2024-03-02 10:00:00
ITM-001450,ORD-00608,PROD-0056,2,480.47,96.09,69.19,2024-03-02 10:00:00
ITM-001451,ORD-00609,PROD-0012,3,564.68,169.4,121.97,2024-03-03 10:00:00
ITM-001452,ORD-00609,PROD-0003,3,219.21,65.76,47.35,2024-03-03 10:00:00
ITM-001453,ORD-00610,PROD-0026,4,82.97,33.19,23.9,2024-03-05 10:00:00
ITM-001454,ORD-00610,PROD-0043,1,229.48,22.95,16.52,2024-03-05 10:00:00
ITM-001455,ORD-00610,PROD-0043,1,229.48,22.95,16.52,2024-03-05 10:00:00
ITM-001456,ORD-00611,PROD-0048,3,273.24,81.97,59.02,2024-03-10 10:00:00
ITM-001457,ORD-00611,PROD-0058,2,490.64,98.13,70.65,2024-03-10 10:00:00
ITM-001458,ORD-00611,PROD-0029,3,323.43,97.03,69.86,2024-03-10 10:00:00
ITM-001459,ORD-00612,PROD-0021,1,704.47,70.45,50.72,2024-03-06 10:00:00
ITM-001460,ORD-00612,PROD-0004,3,787.13,236.14,170.02,2024-03-06 10:00:00
ITM-001461,ORD-00613,PROD-0059,2,65.98,13.2,9.5,2024-03-09 10:00:00
ITM-001462,ORD-00614,PROD-0008,3,308.14,92.44,66.56,2024-03-05 10:00:00
ITM-001463,ORD-00615,PROD-0049,4,269.98,107.99,77.75,2024-03-02 10:00:00
ITM-001464,ORD-00615,PROD-0008,1,308.14,30.81,22.19,2024-03-02 10:00:00
ITM-001465,ORD-00615,PROD-0032,1,56.77,5.68,4.09,2024-03-02 10:00:00
ITM-001466,ORD-00616,PROD-0004,3,787.13,236.14,170.02,2024-03-11 10:00:00
ITM-001467,ORD-00617,PROD-0025,4,542.08,216.83,156.12,2024-03-08 10:00:00
ITM-001468,ORD-00617,PROD-0003,2,219.21,43.84,31.57,2024-03-08 10:00:00
ITM-001469,ORD-00618,PROD-0043,3,229.48,68.84,49.57,2024-03-04 10:00:00
ITM-001470,ORD-00619,PROD-0060,3,209.1,62.73,45.17,2024-03-07 10:00:00
ITM-001471,ORD-00619,PROD-0052,2,502.79,100.56,72.4,2024-03-07 10:00:00
ITM-001472,ORD-00620,PROD-0051,1,470.26,47.03,33.86,2024-03-07 10:00:00
ITM-001473,ORD-00620,PROD-0052,1,502.79,50.28,36.2,2024-03-07 10:00:00
ITM-001474,ORD-00621,PROD-0037,3,603.32,181.0,130.32,2024-03-06 10:00:00
ITM-001475,ORD-00621,PROD-0011,4,664.57,265.83,191.4,2024-03-06 10:00:00
ITM-001476,ORD-00622,PROD-0018,1,328.3,32.83,23.64,2024-03-04 10:00:00
ITM-001477,ORD-00622,PROD-0016,3,666.37,199.91,143.94,2024-03-04 10:00:00
ITM-001478,ORD-00622,PROD-0022,4,309.11,123.64,89.02,2024-03-04 10:00:00
ITM-001479,ORD-00623,PROD-0017,1,387.29,38.73,27.88,2024-03-06 10:00:00
ITM-001480,ORD-00623,PROD-0008,3,308.14,92.44,66.56,2024-03-06 10:00:00
ITM-001481,ORD-00623,PROD-0037,3,603.32,181.0,130.32,2024-03-06 10:00:00
ITM-001482,ORD-00624,PROD-0029,1,323.43,32.34,23.29,2024-03-04 10:00:00
ITM-001483,ORD-00625,PROD-0027,1,310.4,31.04,22.35,2024-03-07 10:00:00
ITM-001484,ORD-00626,PROD-0005,4,377.85,151.14,108.82,2024-03-06 10:00:00
ITM-001485,ORD-00626,PROD-0012,3,564.68,169.4,121.97,2024-03-06 10:00:00
ITM-001486,ORD-00627,PROD-0041,2,308.67,61.73,44.45,2024-03-06 10:00:00
ITM-001487,ORD-00628,PROD-0003,2,219.21,43.84,31.57,2024-03-02 10:00:00
ITM-001488,ORD-00628,PROD-0044,4,113.49,45.4,32.68,2024-03-02 10:00:00
ITM-001489,ORD-00628,PROD-0038,3,217.47,65.24,46.97,2024-03-02 10:00:00
ITM-001490,ORD-00629,PROD-0002,3,422.64,126.79,91.29,2024-03-05 10:00:00
ITM-001491,ORD-00629,PROD-0035,1,393.28,39.33,28.32,2024-03-05 10:00:00
ITM-001492,ORD-00630,PROD-0029,1,323.43,32.34,23.29,2024-03-07 10:00:00
ITM-001493,ORD-00630,PROD-0033,1,339.92,33.99,24.47,2024-03-07 10:00:00
ITM-001494,ORD-00630,PROD-0016,2,666.37,133.27,95.96,2024-03-07 10:00:00
ITM-001495,ORD-00631,PROD-0028,3,532.55,159.76,115.03,2024-03-07 10:00:00
ITM-001496,ORD-00631,PROD-0010,1,133.78,13.38,9.63,2024-03-07 10:00:00
ITM-001497,ORD-00631,PROD-0021,3,704.47,211.34,152.17,2024-03-07 10:00:00
ITM-001498,ORD-00632,PROD-0002,2,422.64,84.53,60.86,2024-03-07 10:00:00
ITM-001499,ORD-00632,PROD-0024,1,402.36,40.24,28.97,2024-03-07 10:00:00
ITM-001500,ORD-00632,PROD-0019,2,101.24,20.25,14.58,2024-03-07 10:00:00
ITM-001501,ORD-00633,PROD-0033,3,339.92,101.98,73.42,2024-03-03 10:00:00
ITM-001502,ORD-00633,PROD-0014,4,106.8,42.72,30.76,2024-03-03 10:00:00
ITM-001503,ORD-00634,PROD-0006,1,107.73,10.77,7.76,2024-03-02 10:00:00
ITM-001504,ORD-00634,PROD-0060,2,209.1,41.82,30.11,2024-03-02 10:00:00
ITM-001505,ORD-00634,PROD-0037,4,603.32,241.33,173.76,2024-03-02 10:00:00
ITM-001506,ORD-00635,PROD-0043,4,229.48,91.79,66.09,2024-03-10 10:00:00
ITM-001507,ORD-00635,PROD-0021,3,704.47,211.34,152.17,2024-03-10 10:00:00
ITM-001508,ORD-00636,PROD-0052,3,502.79,150.84,108.6,2024-03-06 10:00:00
ITM-001509,ORD-00637,PROD-0047,4,504.71,201.88,145.36,2024-03-07 10:00:00
ITM-001510,ORD-00637,PROD-0024,1,402.36,40.24,28.97,2024-03-07 10:00:00
ITM-001511,ORD-00638,PROD-0031,2,469.43,93.89,67.6,2024-03-10 10:00:00
ITM-001512,ORD-00638,PROD-0029,4,323.43,129.37,93.15,2024-03-10 10:00:00
ITM-001513,ORD-00638,PROD-0015,2,150.54,30.11,21.68,2024-03-10 10:00:00
ITM-001514,ORD-00639,PROD-0017,3,387.29,116.19,83.65,2024-03-08 10:00:00
ITM-001515,ORD-00639,PROD-0022,3,309.11,92.73,66.77,2024-03-08 10:00:00
ITM-001516,ORD-00639,PROD-0008,1,308.14,30.81,22.19,2024-03-08 10:00:00
ITM-001517,ORD-00640,PROD-0041,2,308.67,61.73,44.45,2024-03-10 10:00:00
ITM-001518,ORD-00640,PROD-0058,2,490.64,98.13,70.65,2024-03-10 10:00:00
ITM-001519,ORD-00641,PROD-0049,4,269.98,107.99,77.75,2024-03-04 10:00:00
ITM-001520,ORD-00641,PROD-0048,1,273.24,27.32,19.67,2024-03-04 10:00:00
ITM-001521,ORD-00642,PROD-0009,4,206.06,82.42,59.35,2024-03-08 10:00:00
ITM-001522,ORD-00643,PROD-0046,3,168.98,50.69,36.5,2024-03-04 10:00:00
ITM-001523,ORD-00644,PROD-0007,1,59.89,5.99,4.31,2024-03-07 10:00:00
ITM-001524,ORD-00644,PROD-0005,3,377.85,113.36,81.62,2024-03-07 10:00:00
ITM-001525,ORD-00644,PROD-0029,4,323.43,129.37,93.15,2024-03-07 10:00:00
ITM-001526,ORD-00645,PROD-0009,2,206.06,41.21,29.67,2024-03-08 10:00:00
ITM-001527,ORD-00645,PROD-0047,1,504.71,50.47,36.34,2024-03-08 10:00:00
